	tramaresultante
0	sánchez,SÁNCHEZ,7,empleado - sánchez
1	arroyo,ARROYO,6,vendedor - arroyo
2	sala,SALA,4,vendedor - sala
3	jiménez,JIMÉNEZ,7,director - jiménez
4	martín,MARTÍN,6,vendedor - martín
5	negro,NEGRO,5,director - negro
6	cerezo,CEREZO,6,director - cerezo
7	gil,GIL,3,analista - gil
8	rey,REY,3,presidente - rey
9	tovar,TOVAR,5,vendedor - tovar
10	alonso,ALONSO,6,empleado - alonso
11	jimeno,JIMENO,6,empleado - jimeno
12	fernández,FERNÁNDEZ,9,analista - fernández
13	muñoz,MUÑOZ,5,empleado - muñoz
